Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,Tm,Salary,Cap Hit
Anthony Mantha,20232024,"WSH,VGK",L,R,72,23,20,43,10,25,0.6,20,35,3,8,0,0,0,0,112,20.5,14:16,27.3,VEG,3250000,2850000
Anton Lundell,20232024,FLA,L,C,76,12,22,34,19,46,0.45,11,28,1,5,0,1,1,2,161,7.5,15:23,54.3,FLA,832500,925000
Anze Kopitar,20232024,LAK,L,C,79,26,44,70,12,22,0.89,16,44,9,23,1,3,0,6,130,20,19:40,55.3,NA,NA,NA
Artem Zub,20232024,OTT,R,D,66,4,20,24,5,30,0.36,4,24,0,0,0,0,0,0,82,4.9,21:01,--,OTT,4000000,4600000
Artemi Panarin,20232024,NYR,R,L,80,47,70,117,15,24,1.46,36,72,11,44,0,1,1,5,291,16.2,20:06,10,NYR,1000000,11642857
Arthur Kaliyev,20232024,LAK,L,R,51,7,8,15,-3,14,0.29,4,11,3,4,0,0,0,0,101,6.9,11:48,0,LAK,832500,894167
Artturi Lehkonen,20232024,COL,L,L,42,16,16,32,13,14,0.76,9,20,7,12,0,0,1,2,96,16.7,18:32,27.3,COL,5000000,4500000
Auston Matthews,20232024,TOR,L,C,78,68,38,106,37,18,1.36,51,77,17,28,0,1,3,8,342,19.9,20:57,53.8,TOR,775000,11640250
Beck Malenstyn,20232024,WSH,L,L,78,6,14,20,-3,25,0.26,6,19,0,0,0,1,0,1,96,6.3,14:17,44,WSH,775000,762500
Ben Chiarot,20232024,DET,L,D,74,5,14,19,-4,56,0.26,5,19,0,0,0,0,1,1,102,4.9,19:39,--,DET,5250000,4750000
Blake Coleman,20232024,CGY,L,C,77,29,23,52,17,76,0.68,22,43,3,3,4,6,0,6,188,15.4,17:09,44.9,CGY,5900000,4900000
Blake Wheeler,20232024,NYR,R,R,54,9,12,21,2,23,0.39,8,20,1,1,0,0,0,1,83,10.8,12:43,61.3,NA,NA,NA
Bo Horvat,20232024,NYI,L,C,78,33,35,68,0,39,0.87,22,48,10,18,1,2,3,6,240,13.8,19:40,53.9,NYI,8500000,8500000
Bobby Brink,20232024,PHI,R,R,55,11,12,23,1,10,0.42,8,18,3,5,0,0,0,2,77,14.3,13:56,57.1,PHI,832500,925000
Bobby McMann,20232024,TOR,L,C,55,15,9,24,13,52,0.44,14,23,1,1,0,0,0,0,118,12.7,11:42,60,TOR,775000,762500
Boone Jenner,20232024,CBJ,L,C,58,22,13,35,-8,28,0.6,16,26,5,8,1,1,0,1,155,14.2,20:06,54.3,CBJ,3750000,3750000
Boris Katchouk,20232024,"CHI,OTT",L,L,56,7,6,13,-3,12,0.23,6,12,0,0,1,1,0,0,65,10.8,11:28,46,OTT,775000,758333
Bowen Byram,20232024,"COL,BUF",L,D,71,11,16,27,-1,53,0.38,11,27,0,0,0,0,0,0,83,13.3,20:18,--,BUF,3080000,3850000
Brad Marchand,20232024,BOS,L,L,79,28,38,66,6,74,0.84,19,37,7,26,2,3,2,6,202,13.9,19:12,44.2,BOS,3000000,6125000
Braden Schneider,20232024,NYR,R,D,80,4,14,18,-2,16,0.23,4,18,0,0,0,0,0,1,91,4.4,15:50,--,NYR,832500,925000
Brady Skjei,20232024,CAR,L,D,79,13,33,46,15,40,0.58,11,30,1,12,1,4,0,2,179,7.3,21:17,--,CAR,5400000,5250000
Brady Tkachuk,20232024,OTT,L,L,78,35,35,70,2,132,0.9,25,51,10,19,0,0,1,2,344,10.2,19:03,53,OTT,10500000,8205714
Brandon Carlo,20232024,BOS,R,D,74,4,10,14,21,42,0.19,4,14,0,0,0,0,0,1,77,5.2,19:58,--,BOS,4700000,4100000
Brandon Hagel,20232024,TBL,L,L,79,24,48,72,3,75,0.91,22,63,2,7,0,2,1,2,178,13.5,19:19,41,TBL,2050000,1500000
Brandon Montour,20232024,FLA,R,D,64,7,25,32,-3,44,0.5,6,15,1,17,0,0,0,3,163,4.3,23:19,--,FLA,775000,3500000
Brandon Saad,20232024,STL,L,L,79,26,15,41,-3,20,0.52,21,36,5,5,0,0,2,7,134,19.4,15:32,44,STL,5500000,4500000
Brandon Tanev,20232024,SEA,L,L,62,7,6,13,0,45,0.21,7,13,0,0,0,0,0,0,69,10.1,14:38,31,SEA,2500000,3500000
Brayden McNabb,20232024,VGK,L,D,78,3,22,25,16,37,0.32,3,23,0,1,0,1,0,0,80,3.8,19:17,--,VEG,2750000,2850000
Brayden Point,20232024,TBL,R,C,78,45,43,88,-12,12,1.13,31,57,14,31,0,0,0,12,215,20.9,20:00,46,TBL,5000000,9500000
Brayden Schenn,20232024,STL,L,C,79,19,25,44,-22,52,0.56,14,31,4,12,1,1,2,3,163,11.7,17:42,49.1,STL,8000000,6500000
Brendan Gallagher,20232024,MTL,R,R,74,13,13,26,-25,74,0.35,12,22,1,4,0,0,0,2,146,8.9,13:47,42.4,MTL,8000000,6500000
Brendan Smith,20232024,NJD,L,D,61,5,10,15,-1,59,0.25,5,15,0,0,0,0,0,0,56,8.9,16:05,--,NJD,1200000,1100000
Brenden Dillon,20232024,WPG,L,D,75,8,12,20,18,90,0.27,8,20,0,0,0,0,0,2,77,10.4,18:44,--,WPG,2000000,3900000
Brent Burns,20232024,CAR,R,D,79,10,30,40,17,20,0.51,5,21,4,18,1,1,0,0,179,5.6,21:38,--,CAR,1980000,5280000
Brett Howden,20232024,VGK,L,C,68,8,9,17,-11,37,0.25,6,15,0,0,2,2,0,0,74,10.8,13:08,45,VEG,775000,1900000
Brett Kulak,20232024,EDM,L,D,77,3,11,14,4,28,0.18,3,14,0,0,0,0,0,1,82,3.7,15:10,--,EDM,3000000,2750000
Brett Leason,20232024,ANA,R,R,65,11,11,22,-7,14,0.34,9,20,0,0,2,2,0,0,88,12.5,13:05,36.1,ANA,800000,775000
Brian Dumoulin,20232024,SEA,L,D,76,6,10,16,8,20,0.21,6,16,0,0,0,0,0,1,67,9,17:00,--,SEA,3300000,3150000
Brock Boeser,20232024,VAN,R,R,79,40,33,73,22,14,0.92,24,48,16,25,0,0,1,4,204,19.6,18:40,45.5,VAN,6650000,6650000
Brock Faber,20232024,MIN,R,D,78,7,36,43,0,26,0.55,5,30,2,13,0,0,0,1,125,5.6,25:03,--,MIN,832500,925000
Brock Nelson,20232024,NYI,L,C,79,30,33,63,-7,26,0.8,20,44,9,17,1,2,1,2,239,12.6,18:02,45.6,NYI,5600000,6000000
Bryan Rust,20232024,PIT,R,R,59,27,27,54,13,18,0.92,23,45,3,8,1,1,1,3,180,15,19:30,25,PIT,6100000,5125000
Cal Clutterbuck,20232024,NYI,R,R,79,7,12,19,5,32,0.24,7,19,0,0,0,0,0,0,57,12.3,11:55,39.4,NYI,1750000,1750000
Cale Makar,20232024,COL,R,D,74,20,67,87,15,16,1.18,12,45,7,38,1,4,0,1,225,8.9,24:49,--,COL,11000000,9000000
Calen Addison,20232024,"MIN,SJS",R,D,69,1,16,17,-32,72,0.25,1,8,0,9,0,0,0,0,86,1.2,17:13,--,SJS,825000,825000
Calle Jarnkrok,20232024,TOR,R,C,52,10,11,21,16,18,0.4,9,18,0,1,1,2,1,3,92,10.9,15:16,49.2,NA,NA,NA
Cam Atkinson,20232024,PHI,R,R,68,13,15,28,-22,25,0.41,11,22,2,6,0,0,0,3,175,7.4,16:13,48,PHI,5275000,5875000
Cam Fowler,20232024,ANA,L,D,78,5,31,36,-36,22,0.46,3,18,2,17,0,1,0,0,106,4.7,24:29,--,ANA,7500000,6500000
Cam York,20232024,PHI,L,D,80,10,20,30,-12,44,0.38,10,22,0,6,0,2,0,1,131,7.6,22:33,--,NA,NA,NA
Carter Verhaeghe,20232024,FLA,L,C,75,33,38,71,15,36,0.95,25,50,8,21,0,0,1,7,240,13.8,17:57,44.6,FLA,4500000,4166667
Casey Cizikas,20232024,NYI,L,C,67,9,13,22,-1,22,0.33,8,20,0,1,1,1,0,1,74,12.2,13:51,53.5,NYI,2500000,2500000
Casey Mittelstadt,20232024,"BUF,COL",L,C,77,18,38,56,11,30,0.73,15,47,3,9,0,0,0,1,126,14.3,17:51,47,COL,2600000,2500000
Chandler Stephenson,20232024,VGK,L,C,73,16,31,47,-11,25,0.64,10,33,4,11,2,3,0,4,97,16.5,18:30,52.6,VEG,3225000,2750000
